"global_step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - _step__MAX","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b65536_mb8064_lr3.7e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - _step__MAX","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b32768_mb5120_lr2.5e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - _step__MAX","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b16384_mb3200_lr2e-4 - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - _step__MAX","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b2048_mb832_lr1.26e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - _step__MAX","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b4096_mb1280_lr1.6e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - _step__MAX","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b1024_mb512_lr1e-4_val - episodic_stats/failure_2_last__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - _step__MAX","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MIN","experiment: hlg_1cubes_b8192_mb2048_lr2e-4_3 - episodic_stats/failure_2_last__MAX"
"57344000","11","11","11","0.9894775390625","0.98779296875","0.9913330078125","11","11","11","0.9891845703125","0.9874267578125","0.9903564453125","11","11","11","0.98837890625","0.9874267578125","0.990478515625","40","40","40","0.4916015625","0.35400390625","0.9130859375","21","21","21","0.9607421875","0.942626953125","0.984619140625","78","78","78","0.2349609375","0.193359375","0.328125","11","11","11","0.9836181640625","0.9757080078125","0.990478515625"
"58368000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","80","80","0.21953125","0.17578125","0.2841796875","","","","","",""
"59392000","","","","","","","","","","","","","","","","","","","42","42","42","0.4443359375","0.2685546875","0.90576171875","","","","","","","81","81","81","0.20078125","0.146484375","0.27734375","","","","","",""
"60416000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","0.202734375","0.16796875","0.2431640625","","","","","",""
"61440000","","","","","","","","","","","","","","","","","","","43","43","43","0.390625","0.21044921875","0.8759765625","22","22","22","0.9330078125","0.874267578125","0.9833984375","84","84","84","0.1892578125","0.150390625","0.2421875","","","","","",""
"62464000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85","85","85","0.1982421875","0.15625","0.2333984375","","","","","",""
"63488000","","","","","","","","","","","","","","","","","","","45","45","45","0.3515625","0.2080078125","0.8017578125","","","","","","","87","87","87","0.1943359375","0.1533203125","0.2353515625","","","","","",""
"64512000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","88","88","0.1884765625","0.1572265625","0.2275390625","","","","","",""
"65536000","13","13","13","0.9910888671875","0.9888916015625","0.9930419921875","13","13","13","0.98935546875","0.988525390625","0.990234375","13","13","13","0.9864990234375","0.984619140625","0.9886474609375","46","46","46","0.294921875","0.16943359375","0.69384765625","24","24","24","0.900439453125","0.837158203125","0.9833984375","","","","","","","13","13","13","0.981494140625","0.96484375","0.989501953125"
"66560000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","0.1705078125","0.115234375","0.220703125","","","","","",""
"67584000","","","","","","","","","","","","","","","","","","","47","47","47","0.27099609375","0.14306640625","0.6279296875","","","","","","","92","92","92","0.1572265625","0.1005859375","0.1953125","","","","","",""
"68608000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94","94","94","0.1498046875","0.1279296875","0.1865234375","","","","","",""
"69632000","","","","","","","","","","","","","","","","","","","49","49","49","0.24248046875","0.16015625","0.49658203125","25","25","25","0.809326171875","0.649169921875","0.97998046875","95","95","95","0.1515625","0.1328125","0.1826171875","","","","","",""
"71680000","","","","","","","","","","","","","","","","","","","50","50","50","0.22568359375","0.15478515625","0.435546875","","","","","","","98","98","98","0.140625","0.111328125","0.1943359375","","","","","",""
"72704000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","102","102","0.148046875","0.119140625","0.193359375","","","","","",""
"73728000","14","14","14","0.99033203125","0.9886474609375","0.9912109375","14","14","14","0.9895263671875","0.98779296875","0.9912109375","14","14","14","0.9859375","0.9803466796875","0.98876953125","52","52","52","0.2177734375","0.15576171875","0.36181640625","","","","","","","104","104","104","0.145703125","0.1298828125","0.1826171875","14","14","14","0.97181396484375","0.9217529296875","0.9896240234375"
"74752000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","105","105","0.1373046875","0.1123046875","0.185546875","","","","","",""
"75776000","","","","","","","","","","","","","","","","","","","53","53","53","0.18408203125","0.12841796875","0.31982421875","","","","","","","","","","","","","","","","","",""
"76800000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108","108","108","0.1234375","0.099609375","0.1357421875","","","","","",""
